视频名称,真实标签,Base造假概率,Local造假概率,集成后造假概率,Base单核判定,Local单核判定,最终集成判定,耗时(s)
032_944.mp4,Fake,0.3708,0.1738,0.292,Real,Real,Real,5.175
034_590.mp4,Fake,0.6505,0.1425,0.4473,Fake,Real,Real,4.246
035_036.mp4,Fake,0.9764,0.0264,0.5964,Fake,Real,Fake,2.978
036_035.mp4,Fake,0.9861,0.0372,0.6065,Fake,Real,Fake,2.84
037_072.mp4,Fake,0.9728,0.0475,0.6027,Fake,Real,Fake,3.204
038_125.mp4,Fake,0.8893,0.2607,0.6378,Fake,Real,Fake,3.096
039_058.mp4,Fake,0.9367,0.0641,0.5877,Fake,Real,Fake,3.875
040_997.mp4,Fake,0.9575,0.0732,0.6038,Fake,Real,Fake,5.843
216_164.mp4,Fake,0.9901,0.0519,0.6148,Fake,Real,Fake,3.042
217_117.mp4,Fake,0.9901,0.258,0.6972,Fake,Real,Fake,11.113
218_239.mp4,Fake,0.99,0.0648,0.62,Fake,Real,Fake,2.697
219_220.mp4,Fake,0.9901,0.023,0.6032,Fake,Real,Fake,4.814
220_219.mp4,Fake,0.99,0.3947,0.7519,Fake,Real,Fake,3.213
221_206.mp4,Fake,0.99,0.0575,0.617,Fake,Real,Fake,6.165
222_168.mp4,Fake,0.99,0.0294,0.6058,Fake,Real,Fake,2.773
223_586.mp4,Fake,0.9893,0.0203,0.6017,Fake,Real,Fake,7.06
224_197.mp4,Fake,0.99,0.0309,0.6063,Fake,Real,Fake,3.024
225_151.mp4,Fake,0.99,0.2762,0.7045,Fake,Real,Fake,4.163
226_491.mp4,Fake,0.9677,0.0506,0.6009,Fake,Real,Fake,4.423
227_169.mp4,Fake,0.99,0.0689,0.6216,Fake,Real,Fake,4.705
