视频名称,真实标签,Base造假概率,Local造假概率,集成后造假概率,Base单核判定,Local单核判定,最终集成判定,耗时(s)
049.mp4,Real,0.6289,0.1037,0.4188,Fake,Real,Real,2.848
050.mp4,Real,0.0188,0.0592,0.035,Real,Real,Real,2.938
051.mp4,Real,0.4533,0.1674,0.339,Real,Real,Real,5.98
052.mp4,Real,0.0195,0.6501,0.2717,Real,Fake,Real,6.781
053.mp4,Real,0.0258,0.0407,0.0318,Real,Real,Real,2.816
054.mp4,Real,0.0152,0.216,0.0955,Real,Real,Real,3.422
055.mp4,Real,0.8611,0.086,0.551,Fake,Real,Fake,3.077
056.mp4,Real,0.5647,0.141,0.3953,Fake,Real,Real,4.177
057.mp4,Real,0.0878,0.0893,0.0884,Real,Real,Real,2.833
058.mp4,Real,0.2543,0.3249,0.2825,Real,Real,Real,3.475
068.mp4,Real,0.823,0.1851,0.5678,Fake,Real,Fake,2.763
069.mp4,Real,0.2668,0.2678,0.2672,Real,Real,Real,6.279
070.mp4,Real,0.5742,0.2409,0.4409,Fake,Real,Real,3.057
071.mp4,Real,0.9361,0.163,0.6268,Fake,Real,Fake,3.145
073.mp4,Real,0.0134,0.0447,0.0259,Real,Real,Real,6.314
090.mp4,Real,0.0125,0.2583,0.1108,Real,Real,Real,6.388
091.mp4,Real,0.5436,0.3018,0.4468,Fake,Real,Real,3.719
323.mp4,Real,0.0179,0.2374,0.1057,Real,Real,Real,2.908
993.mp4,Real,0.1925,0.1692,0.1831,Real,Real,Real,2.771
994.mp4,Real,0.1341,0.7248,0.3704,Real,Fake,Real,3.196
