视频,作者模型(Prob),我的模型(Prob),集成模型(Prob),最终判定,状态
449_451.mp4,98.2%,93.7%,96.4%,Fake,🤝 一致
450_533.mp4,89.4%,69.4%,81.4%,Fake,🤝 一致
451_449.mp4,7.3%,91.4%,40.9%,Real,🔥 集成修正
452_550.mp4,87.4%,65.6%,78.7%,Fake,🤝 一致
453_402.mp4,87.8%,76.6%,83.3%,Fake,🤝 一致
454_527.mp4,91.5%,88.4%,90.3%,Fake,🤝 一致
455_471.mp4,99.0%,75.9%,89.7%,Fake,🤝 一致
863.mp4,73.5%,73.1%,73.3%,Fake,🤝 一致
864.mp4,91.6%,79.8%,86.9%,Fake,🤝 一致
865.mp4,61.0%,86.1%,71.1%,Fake,🤝 一致
866.mp4,82.7%,68.7%,77.1%,Fake,🤝 一致
867.mp4,32.3%,72.8%,48.5%,Real,🔥 集成修正
868.mp4,80.1%,68.6%,75.5%,Fake,🤝 一致
869.mp4,39.4%,68.2%,50.9%,Fake,🔥 集成修正
870.mp4,6.5%,87.6%,39.0%,Real,🔥 集成修正
871.mp4,39.7%,65.0%,49.8%,Real,🔥 集成修正
872.mp4,48.8%,64.3%,55.0%,Fake,🔥 集成修正
873.mp4,62.8%,60.5%,61.9%,Fake,🤝 一致
