视频名称,原视频的真假标签,原模型给的造假概率,集成模型给的造假概率,最终的判断结果,耗时
Sample_Fake_01,Fake,0.3708,0.292,Real,5.175
Sample_Fake_02,Fake,0.6505,0.4473,Real,4.246
Sample_Fake_03,Fake,0.9764,0.5964,Fake,2.978
Sample_Fake_04,Fake,0.9861,0.6065,Fake,2.84
Sample_Fake_05,Fake,0.9728,0.6027,Fake,3.204
Sample_Fake_06,Fake,0.8893,0.6378,Fake,3.096
Sample_Fake_07,Fake,0.9367,0.5877,Fake,3.875
Sample_Fake_08,Fake,0.9575,0.6038,Fake,5.843
Sample_Fake_09,Fake,0.9901,0.6148,Fake,3.042
Sample_Fake_10,Fake,0.9901,0.6972,Fake,11.113
Sample_Fake_11,Fake,0.99,0.62,Fake,2.697
Sample_Fake_12,Fake,0.9901,0.6032,Fake,4.814
Sample_Fake_13,Fake,0.99,0.7519,Fake,3.213
Sample_Fake_14,Fake,0.99,0.617,Fake,6.165
Sample_Fake_15,Fake,0.99,0.6058,Fake,2.773
Sample_Fake_16,Fake,0.9893,0.6017,Fake,7.06
Sample_Fake_17,Fake,0.99,0.6063,Fake,3.024
Sample_Fake_18,Fake,0.99,0.7045,Fake,4.163
Sample_Fake_19,Fake,0.9677,0.6009,Fake,4.423
Sample_Fake_20,Fake,0.99,0.6216,Fake,4.705
