视频名称,原视频的真假标签,原模型给的造假概率,集成模型给的造假概率,最终的判断结果,耗时
Sample_Real_01,Real,0.6289,0.4188,Real,2.848
Sample_Real_02,Real,0.0188,0.035,Real,2.938
Sample_Real_03,Real,0.4533,0.339,Real,5.98
Sample_Real_04,Real,0.0195,0.2717,Real,6.781
Sample_Real_05,Real,0.0258,0.0318,Real,2.816
Sample_Real_06,Real,0.0152,0.0955,Real,3.422
Sample_Real_07,Real,0.8611,0.551,Fake,3.077
Sample_Real_08,Real,0.5647,0.3953,Real,4.177
Sample_Real_09,Real,0.0878,0.0884,Real,2.833
Sample_Real_10,Real,0.2543,0.2825,Real,3.475
Sample_Real_11,Real,0.823,0.5678,Fake,2.763
Sample_Real_12,Real,0.2668,0.2672,Real,6.279
Sample_Real_13,Real,0.5742,0.4409,Real,3.057
Sample_Real_14,Real,0.9361,0.6268,Fake,3.145
Sample_Real_15,Real,0.0134,0.0259,Real,6.314
Sample_Real_16,Real,0.0125,0.1108,Real,6.388
Sample_Real_17,Real,0.5436,0.4468,Real,3.719
Sample_Real_18,Real,0.0179,0.1057,Real,2.908
Sample_Real_19,Real,0.1925,0.1831,Real,2.771
Sample_Real_20,Real,0.1341,0.3704,Real,3.196
