视频名称 (Video),作者模型 Fake置信度,作者模型 判定,我的模型 Fake置信度,我的模型 判定,意见状态 (Status)
449_451.mp4,98.4%,Fake,94.7%,Fake,🤝 一致 (Agree)
450_533.mp4,89.6%,Fake,62.7%,Fake,🤝 一致 (Agree)
451_449.mp4,10.0%,Real,90.9%,Fake,⚠️ 分歧 (Dispute)
452_550.mp4,85.3%,Fake,69.9%,Fake,🤝 一致 (Agree)
453_402.mp4,90.1%,Fake,80.2%,Fake,🤝 一致 (Agree)
454_527.mp4,98.1%,Fake,89.9%,Fake,🤝 一致 (Agree)
455_471.mp4,99.0%,Fake,76.3%,Fake,🤝 一致 (Agree)
863.mp4,59.4%,Fake,71.3%,Fake,🤝 一致 (Agree)
864.mp4,96.0%,Fake,82.3%,Fake,🤝 一致 (Agree)
865.mp4,55.9%,Fake,77.1%,Fake,🤝 一致 (Agree)
866.mp4,86.2%,Fake,65.0%,Fake,🤝 一致 (Agree)
867.mp4,42.0%,Real,73.6%,Fake,⚠️ 分歧 (Dispute)
868.mp4,86.9%,Fake,70.0%,Fake,🤝 一致 (Agree)
869.mp4,32.3%,Real,65.2%,Fake,⚠️ 分歧 (Dispute)
870.mp4,16.5%,Real,89.0%,Fake,⚠️ 分歧 (Dispute)
871.mp4,29.1%,Real,61.9%,Fake,⚠️ 分歧 (Dispute)
872.mp4,45.5%,Real,65.2%,Fake,⚠️ 分歧 (Dispute)
873.mp4,60.4%,Fake,68.8%,Fake,🤝 一致 (Agree)
